Mjesto,Ulica,Adresa ključ,Broj korisnika,Odobreno m3,Isporučeno m3,Preostalo m3,Isporučeno korisnika,Za isporuku korisnika,Status ulice
Bosanska Krupa,10 Juli,Bosanska Krupa|10 JULA,1,3.5,0.0,3.5,0,1,NIJE POČETO
Bosanska Krupa,5 Korpus,Bosanska Krupa|5 KORPUSA,2,10.5,7.0,3.5,1,1,U TOKU
Bosanska Krupa,Mašići,Bosanska Krupa|MASICI,2,10.5,7.0,3.5,1,1,U TOKU
Bosanska Krupa,Voloder,Bosanska Krupa|VOLODER,1,3.5,0.0,3.5,0,1,NIJE POČETO
Bosanska Krupa,Šehidska,Bosanska Krupa|SEHIDSKA,3,14.0,10.5,3.5,2,1,U TOKU
Bosanska Otoka,Manda,Bosanska Otoka|MANDA,1,3.5,0.0,3.5,0,1,NIJE POČETO
Bosanska Otoka,Proleterska,Bosanska Otoka|PROLETERSKA,1,3.5,0.0,3.5,0,1,NIJE POČETO
Bužim,Branilaca Grada,Bužim|BRANILACA GRADA,1,3.5,0.0,3.5,0,1,NIJE POČETO
Bužim,Čava,Bužim|CAVA,1,3.5,0.0,3.5,0,1,NIJE POČETO
Bosanska Krupa,(bez ulice),Bosanska Krupa|NAN,1,7.0,7.0,0.0,1,0,ZAVRŠENO
Bosanska Krupa,503 Slavna,Bosanska Krupa|503 SLAVNA,1,3.5,3.5,0.0,1,0,ZAVRŠENO
Bosanska Krupa,Bosanska,Bosanska Krupa|BOSANSKA,4,24.5,24.5,0.0,4,0,ZAVRŠENO
Bosanska Krupa,Gazijska,Bosanska Krupa|GAZIJSKA,1,7.0,7.0,0.0,1,0,ZAVRŠENO
Bosanska Krupa,Hasana Brkića,Bosanska Krupa|HASANA BRKICA,2,14.0,14.0,0.0,2,0,ZAVRŠENO
Bosanska Krupa,Kolodvorska,Bosanska Krupa|KOLODVORSKA,1,7.0,10.0,0.0,1,0,ZAVRŠENO
Bosanska Krupa,Krčevine,Bosanska Krupa|KRCEVINE,3,17.5,17.5,0.0,3,0,ZAVRŠENO
Bosanska Krupa,Kutanja,Bosanska Krupa|KUTANJA,2,14.0,14.0,0.0,2,0,ZAVRŠENO
Bosanska Krupa,Lipik,Bosanska Krupa|LIPIK,5,28.0,28.0,0.0,5,0,ZAVRŠENO
Bosanska Krupa,Maršala Tita,Bosanska Krupa|MARSALA TITA,1,7.0,7.0,0.0,1,0,ZAVRŠENO
Bosanska Krupa,Ustikolna,Bosanska Krupa|USTIKOLNA,8,49.0,52.0,0.0,8,0,ZAVRŠENO
Bosanska Krupa,Vahida Maglajlić,Bosanska Krupa|VAHIDA MAGLAJLIC,4,21.0,21.0,0.0,4,0,ZAVRŠENO
Bosanska Krupa,Vranjska,Bosanska Krupa|VRANJSKA,1,7.0,7.0,0.0,1,0,ZAVRŠENO
Bosanska Krupa,Zalin(alijagići),Bosanska Krupa|ZALIN ALIJAGICI,1,7.0,7.0,0.0,1,0,ZAVRŠENO
Bosanska Otoka,Kutanja,Bosanska Otoka|KUTANJA,2,7.0,10.5,0.0,2,0,ZAVRŠENO
Bosanska Otoka,Ljusina,Bosanska Otoka|LJUSINA,1,7.0,7.0,0.0,1,0,ZAVRŠENO
Bosanska Otoka,Međumostovi,Bosanska Otoka|MEDUMOSTOVI,3,21.0,30.0,0.0,3,0,ZAVRŠENO
Bosanska Otoka,Radnička,Bosanska Otoka|RADNICKA,1,7.0,10.0,0.0,1,0,ZAVRŠENO
